Salary From,-,Salary to,Employer,Employee Contribution
2780 ,-,2800 ,364 ,308 
2800 ,-,2820 ,367 ,311 
2820 ,-,2840 ,370 ,313 
2840 ,-,2860 ,372 ,315 
2860 ,-,2880 ,375 ,317 
2880 ,-,2900 ,377 ,319 
2900 ,-,2920 ,380 ,322 
2920 ,-,2940 ,383 ,324 
2940 ,-,2960 ,385 ,326 
2960 ,-,2980 ,388 ,328 
2980 ,-,3000 ,390 ,330 
3000 ,-,3020 ,393 ,333 
3020 ,-,3040 ,396 ,335 
3040 ,-,3060 ,398 ,337 
3060 ,-,3080 ,401 ,339 
3080 ,-,3100 ,403 ,341 
3100 ,-,3120 ,406 ,344 
3120 ,-,3140 ,409 ,346 
3140 ,-,3160 ,411 ,348 
3160 ,-,3180 ,414 ,350 
3180 ,-,3200 ,416 ,352 
3200 ,-,3220 ,419 ,355 
3220 ,-,3240 ,422 ,357 
3240 ,-,3260 ,424 ,359 
3260 ,-,3280 ,427 ,361 
3280 ,-,3300 ,429 ,363 
3300 ,-,3320 ,432 ,366 
3320 ,-,3340 ,435 ,368 
3340 ,-,3360 ,437 ,370 
3360 ,-,3380 ,440 ,372 
3380 ,-,3400 ,442 ,374 
3400 ,-,3420 ,445 ,377 
3420 ,-,3440 ,448 ,379 
3440 ,-,3460 ,450 ,381 
3460 ,-,3480 ,453 ,383 
3480 ,-,3500 ,455 ,385 
3500 ,-,3520 ,458 ,388 
3520 ,-,3540 ,461 ,390 
3540 ,-,3560 ,463 ,392 
3560 ,-,3580 ,466 ,394 
3580 ,-,3600 ,468 ,396 
3600 ,-,3620 ,471 ,399 
3620 ,-,3640 ,474 ,401 
3640 ,-,3660 ,476 ,403 
3660 ,-,3680 ,479 ,405 
3680 ,-,3700 ,481 ,407 
3700 ,-,3720 ,484 ,410 
3720 ,-,3740 ,487 ,412 
3740 ,-,3760 ,489 ,414 
3760 ,-,3780 ,492 ,416 
3780 ,-,3800 ,494 ,418 
3800 ,-,3820 ,497 ,421 
3820 ,-,3840 ,500 ,423 
3840 ,-,3860 ,502 ,425 
3860 ,-,3880 ,505 ,427 
3880 ,-,3900 ,507 ,429 
3900 ,-,3920 ,510 ,432 
3920 ,-,3940 ,513 ,434 
3940 ,-,3960 ,515 ,436 
3960 ,-,3980 ,518 ,438 
3980 ,-,4000 ,520 ,440 
4000 ,-,4020 ,523 ,443 
4020 ,-,4040 ,526 ,445 
4040 ,-,4060 ,528 ,447 
4060 ,-,4080 ,531 ,449 
4080 ,-,4100 ,533 ,451 
4100 ,-,4120 ,536 ,454 
4120 ,-,4140 ,539 ,456 
4140 ,-,4160 ,541 ,458 
4160 ,-,4180 ,544 ,460 
4180 ,-,4200 ,546 ,462 
4200 ,-,4220 ,549 ,465 
4220 ,-,4240 ,552 ,467 
4240 ,-,4260 ,554 ,469 
4260 ,-,4280 ,557 ,471 
4280 ,-,4300 ,559 ,473 
4300 ,-,4320 ,562 ,476 
4320 ,-,4340 ,565 ,478 
4340 ,-,4360 ,567 ,480 
4360 ,-,4380 ,570 ,482 
4380 ,-,4400 ,572 ,484 
4400 ,-,4420 ,575 ,487 
4420 ,-,4440 ,578 ,489 
4440 ,-,4460 ,580 ,491 
4460 ,-,4480 ,583 ,493 
4480 ,-,4500 ,585 ,495 
4500 ,-,4520 ,588 ,498 
4520 ,-,4540 ,591 ,500 
4540 ,-,4560 ,593 ,502 
4560 ,-,4580 ,596 ,504 
4580 ,-,4600 ,598 ,506 
4600 ,-,4620 ,601 ,509 
4620 ,-,4640 ,604 ,511 
4640 ,-,4660 ,606 ,513 
4660 ,-,4680 ,609 ,515 
4680 ,-,4700 ,611 ,517 
4700 ,-,4720 ,614 ,520 
4720 ,-,4740 ,617 ,522 
4740 ,-,4760 ,619 ,524 
4760 ,-,4780 ,622 ,526 
4780 ,-,4800 ,624 ,528 
4800 ,-,4820 ,627 ,531 
4820 ,-,4840 ,630 ,533 
4840 ,-,4860 ,632 ,535 
4860 ,-,4880 ,635 ,537 
4880 ,-,4900 ,637 ,539 
4900 ,-,4920 ,640 ,542 
4920 ,-,4940 ,643 ,544 
4940 ,-,4960 ,645 ,546 
4960 ,-,4980 ,648 ,548 
4980 ,-,5000 ,650 ,550 
5000 ,-,5100 ,612 ,561 
5100 ,-,5200 ,624 ,572 
5200 ,-,5300 ,636 ,583 
5300 ,-,5400 ,648 ,594 
5400 ,-,5500 ,660 ,605 
5500 ,-,5600 ,672 ,616 
5600 ,-,5700 ,684 ,627 
5700 ,-,5800 ,696 ,638 
5800 ,-,5900 ,708 ,649 
5900 ,-,6000 ,720 ,660 
6000 ,-,6100 ,732 ,671 
6100 ,-,6200 ,744 ,682 
6200 ,-,6300 ,756 ,693 
6300 ,-,6400 ,768 ,704 
6400 ,-,6500 ,780 ,715 
6500 ,-,6600 ,792 ,726 
6600 ,-,6700 ,804 ,737 
6700 ,-,6800 ,816 ,748 
6800 ,-,6900 ,828 ,759 
6900 ,-,7000 ,840 ,770 
7000 ,-,7100 ,852 ,781 
7100 ,-,7200 ,864 ,792 
7200 ,-,7300 ,876 ,803 
7300 ,-,7400 ,888 ,814 
7400 ,-,7500 ,900 ,825 
7500 ,-,7600 ,912 ,836 
7600 ,-,7700 ,924 ,847 
7700 ,-,7800 ,936 ,858 
7800 ,-,7900 ,948 ,869 
7900 ,-,8000 ,960 ,880 
8000 ,-,8100 ,972 ,891 
8100 ,-,8200 ,984 ,902 
8200 ,-,8300 ,996 ,913 
8300 ,-,8400 ,1008 ,924 
8400 ,-,8500 ,1020 ,935 
8500 ,-,8600 ,1032 ,946 
8600 ,-,8700 ,1044 ,957 
8700 ,-,8800 ,1056 ,968 
8800 ,-,8900 ,1068 ,979 
8900 ,-,9000 ,1080 ,990 
9000 ,-,9100 ,1092 ,1001 
9100 ,-,9200 ,1104 ,1012 
9200 ,-,9300 ,1116 ,1023 
9300 ,-,9400 ,1128 ,1034 
9400 ,-,9500 ,1140 ,1045 
