Salary From,,Salary to,Employer,Employee Contribution
"1,900.01",-,"1,920.00",5.00,212.00
"1,920.01",-,"1,940.00",5.00,214.00
"1,940.01",-,"1,960.00",5.00,216.00
"1,960.01",-,"1,980.00",5.00,218.00
"1,980.01",-,"2,000.00",5.00,220.00
"2,000.01",-,"2,020.00",5.00,223.00
"2,020.01",-,"2,040.00",5.00,225.00
"2,040.01",-,"2,060.00",5.00,227.00
"2,060.01",-,"2,080.00",5.00,229.00
"2,080.01",-,"2,100.00",5.00,231.00
"2,100.01",-,"2,120.00",5.00,234.00
"2,120.01",-,"2,140.00",5.00,236.00
"2,140.01",-,"2,160.00",5.00,238.00
"2,160.01",-,"2,180.00",5.00,240.00
"2,180.01",-,"2,200.00",5.00,242.00
"2,200.01",-,"2,220.00",5.00,245.00
"2,220.01",-,"2,240.00",5.00,247.00
"2,240.01",-,"2,260.00",5.00,249.00
"2,260.01",-,"2,280.00",5.00,251.00
"2,280.01",-,"2,300.00",5.00,253.00
"2,300.01",-,"2,320.00",5.00,256.00
"2,320.01",-,"2,340.00",5.00,258.00
"2,340.01",-,"2,360.00",5.00,260.00
"2,360.01",-,"2,380.00",5.00,262.00
"2,380.01",-,"2,400.00",5.00,264.00
"2,400.01",-,"2,420.00",5.00,267.00
"2,420.01",-,"2,440.00",5.00,269.00
"2,440.01",-,"2,460.00",5.00,271.00
"2,460.01",-,"2,480.00",5.00,273.00
"2,480.01",-,"2,500.00",5.00,275.00
"2,500.01",-,"2,520.00",5.00,278.00
"2,520.01",-,"2,540.00",5.00,280.00
"2,540.01",-,"2,560.00",5.00,282.00
"2,560.01",-,"2,580.00",5.00,284.00
"2,580.01",-,"2,600.00",5.00,286.00
"2,600.01",-,"2,620.00",5.00,289.00
"2,620.01",-,"2,640.00",5.00,291.00
"2,640.01",-,"2,660.00",5.00,293.00
"2,660.01",-,"2,680.00",5.00,295.00
"2,680.01",-,"2,700.00",5.00,297.00
"2,700.01",-,"2,720.00",5.00,300.00
"2,720.01",-,"2,740.00",5.00,302.00
"2,740.01",-,"2,760.00",5.00,304.00
"2,760.01",-,"2,780.00",5.00,306.00
"2,780.01",-,"2,800.00",5.00,308.00
"2,800.01",-,"2,820.00",5.00,311.00
"2,820.01",-,"2,840.00",5.00,313.00
"2,840.01",-,"2,860.00",5.00,315.00
"2,860.01",-,"2,880.00",5.00,317.00
"2,880.01",-,"2,900.00",5.00,319.00
"2,900.01",-,"2,920.00",5.00,322.00
"2,920.01",-,"2,940.00",5.00,324.00
"2,940.01",-,"2,960.00",5.00,326.00
"2,960.01",-,"2,980.00",5.00,328.00
"2,980.01",-,"3,000.00",5.00,330.00
"3,000.01",-,"3,020.00",5.00,333.00
"3,020.01",-,"3,040.00",5.00,335.00
"3,040.01",-,"3,060.00",5.00,337.00
"3,060.01",-,"3,080.00",5.00,339.00
"3,080.01",-,"3,100.00",5.00,341.00
"3,100.01",-,"3,120.00",5.00,344.00
"3,120.01",-,"3,140.00",5.00,346.00
"3,140.01",-,"3,160.00",5.00,348.00
"3,160.01",-,"3,180.00",5.00,350.00
"3,180.01",-,"3,200.00",5.00,352.00
"3,200.01",-,"3,220.00",5.00,355.00
"3,220.01",-,"3,240.00",5.00,357.00
"3,240.01",-,"3,260.00",5.00,359.00
"3,260.01",-,"3,280.00",5.00,361.00
"3,280.01",-,"3,300.00",5.00,363.00
"3,300.01",-,"3,320.00",5.00,366.00
"3,320.01",-,"3,340.00",5.00,368.00
"3,340.01",-,"3,360.00",5.00,370.00
"3,360.01",-,"3,380.00",5.00,372.00
"3,380.01",-,"3,400.00",5.00,374.00
"3,400.01",-,"3,420.00",5.00,377.00
"3,420.01",-,"3,440.00",5.00,379.00
"3,440.01",-,"3,460.00",5.00,381.00
"3,460.01",-,"3,480.00",5.00,383.00
"3,480.01",-,"3,500.00",5.00,385.00
"3,500.01",-,"3,520.00",5.00,388.00
"3,520.01",-,"3,540.00",5.00,390.00
"3,540.01",-,"3,560.00",5.00,392.00
"3,560.01",-,"3,580.00",5.00,394.00
"3,580.01",-,"3,600.00",5.00,396.00
"3,600.01",-,"3,620.00",5.00,399.00
"3,620.01",-,"3,640.00",5.00,401.00
"3,640.01",-,"3,660.00",5.00,403.00
"3,660.01",-,"3,680.00",5.00,405.00
"3,680.01",-,"3,700.00",5.00,407.00
"3,700.01",-,"3,720.00",5.00,410.00
"3,720.01",-,"3,740.00",5.00,412.00
"3,740.01",-,"3,760.00",5.00,414.00
"3,760.01",-,"3,780.00",5.00,416.00
"3,780.01",-,"3,800.00",5.00,418.00
"3,800.01",-,"3,820.00",5.00,421.00
"3,820.01",-,"3,840.00",5.00,423.00
"3,840.01",-,"3,860.00",5.00,425.00
"3,860.01",-,"3,880.00",5.00,427.00
"3,880.01",-,"3,900.00",5.00,429.00
"3,900.01",-,"3,920.00",5.00,432.00
"3,920.01",-,"3,940.00",5.00,434.00
"3,940.01",-,"3,960.00",5.00,436.00
"3,960.01",-,"3,980.00",5.00,438.00
"3,980.01",-,"4,000.00",5.00,440.00
"4,000.01",-,"4,020.00",5.00,443.00
"4,020.01",-,"4,040.00",5.00,445.00
"4,040.01",-,"4,060.00",5.00,447.00
"4,060.01",-,"4,080.00",5.00,449.00
"4,080.01",-,"4,100.00",5.00,451.00
"4,100.01",-,"4,120.00",5.00,454.00
"4,120.01",-,"4,140.00",5.00,456.00
"4,140.01",-,"4,160.00",5.00,458.00
"4,160.01",-,"4,180.00",5.00,460.00
"4,180.01",-,"4,200.00",5.00,462.00
"4,200.01",-,"4,220.00",5.00,465.00
"4,220.01",-,"4,240.00",5.00,467.00
"4,240.01",-,"4,260.00",5.00,469.00
"4,260.01",-,"4,280.00",5.00,471.00
"4,280.01",-,"4,300.00",5.00,473.00
"4,300.01",-,"4,320.00",5.00,476.00
"4,320.01",-,"4,340.00",5.00,478.00
"4,340.01",-,"4,360.00",5.00,480.00
"4,360.01",-,"4,380.00",5.00,482.00
"4,380.01",-,"4,400.00",5.00,484.00
"4,400.01",-,"4,420.00",5.00,487.00
"4,420.01",-,"4,440.00",5.00,489.00
"4,440.01",-,"4,460.00",5.00,491.00
"4,460.01",-,"4,480.00",5.00,493.00
"4,480.01",-,"4,500.00",5.00,495.00
"4,500.01",-,"4,520.00",5.00,498.00
"4,520.01",-,"4,540.00",5.00,500.00
"4,540.01",-,"4,560.00",5.00,502.00
"4,560.01",-,"4,580.00",5.00,504.00
"4,580.01",-,"4,600.00",5.00,506.00
"4,600.01",-,"4,620.00",5.00,509.00
"4,620.01",-,"4,640.00",5.00,511.00
"4,640.01",-,"4,660.00",5.00,513.00
"4,660.01",-,"4,680.00",5.00,515.00
"4,680.01",-,"4,700.00",5.00,517.00
"4,700.01",-,"4,720.00",5.00,520.00
"4,720.01",-,"4,740.00",5.00,522.00
"4,740.01",-,"4,760.00",5.00,524.00
"4,760.01",-,"4,780.00",5.00,526.00
"4,780.01",-,"4,800.00",5.00,528.00
"4,800.01",-,"4,820.00",5.00,531.00
"4,820.01",-,"4,840.00",5.00,533.00
"4,840.01",-,"4,860.00",5.00,535.00
"4,860.01",-,"4,880.00",5.00,537.00
"4,880.01",-,"4,900.00",5.00,539.00
"4,900.01",-,"4,920.00",5.00,542.00
"4,920.01",-,"4,940.00",5.00,544.00
"4,940.01",-,"4,960.00",5.00,546.00
"4,960.01",-,"4,980.00",5.00,548.00
"4,980.01",-,"5,000.00",5.00,550.00
"5,000.01",-,"5,100.00",5.00,561.00
"5,100.01",-,"5,200.00",5.00,572.00
"5,200.01",-,"5,300.00",5.00,583.00
"5,300.01",-,"5,400.00",5.00,594.00
"5,400.01",-,"5,500.00",5.00,605.00
"5,500.01",-,"5,600.00",5.00,616.00
"5,600.01",-,"5,700.00",5.00,627.00
"5,700.01",-,"5,800.00",5.00,638.00
"5,800.01",-,"5,900.00",5.00,649.00
"5,900.01",-,"6,000.00",5.00,660.00
"6,000.01",-,"6,100.00",5.00,671.00
"6,100.01",-,"6,200.00",5.00,682.00
"6,200.01",-,"6,300.00",5.00,693.00
"6,300.01",-,"6,400.00",5.00,704.00
"6,400.01",-,"6,500.00",5.00,715.00
"6,500.01",-,"6,600.00",5.00,726.00
"6,600.01",-,"6,700.00",5.00,737.00
"6,700.01",-,"6,800.00",5.00,748.00
"6,800.01",-,"6,900.00",5.00,759.00
"6,900.01",-,"7,000.00",5.00,770.00
"7,000.01",-,"7,100.00",5.00,781.00
"7,100.01",-,"7,200.00",5.00,792.00
"7,200.01",-,"7,300.00",5.00,803.00
"7,300.01",-,"7,400.00",5.00,814.00
"7,400.01",-,"7,500.00",5.00,825.00
"7,500.01",-,"7,600.00",5.00,836.00
"7,600.01",-,"7,700.00",5.00,847.00
"7,700.01",-,"7,800.00",5.00,858.00
"7,800.01",-,"7,900.00",5.00,869.00
"7,900.01",-,"8,000.00",5.00,880.00
"8,000.01",-,"8,100.00",5.00,891.00
"8,100.01",-,"8,200.00",5.00,902.00
"8,200.01",-,"8,300.00",5.00,913.00
"8,300.01",-,"8,400.00",5.00,924.00
"8,400.01",-,"8,500.00",5.00,935.00
"8,500.01",-,"8,600.00",5.00,946.00
"8,600.01",-,"8,700.00",5.00,957.00
"8,700.01",-,"8,800.00",5.00,968.00
"8,800.01",-,"8,900.00",5.00,979.00
"8,900.01",-,"9,000.00",5.00,990.00
"9,000.01",-,"9,100.00",5.00,"1,001.00"
"9,100.01",-,"9,200.00",5.00,"1,012.00"
"9,200.01",-,"9,300.00",5.00,"1,023.00"
"9,300.01",-,"9,400.00",5.00,"1,034.00"
"9,400.01",-,"9,500.00",5.00,"1,045.00"
"9,500.01",-,"9,600.00",5.00,"1,056.00"
"9,600.01",-,"9,700.00",5.00,"1,067.00"
"9,700.01",-,"9,800.00",5.00,"1,078.00"
"9,800.01",-,"9,900.00",5.00,"1,089.00"
"9,900.01",-,"10,000.00",5.00,"1,100.00"
"10,000.01",-,"10,100.00",5.00,"1,111.00"
"10,100.01",-,"10,200.00",5.00,"1,122.00"
"10,200.01",-,"10,300.00",5.00,"1,133.00"
"10,300.01",-,"10,400.00",5.00,"1,144.00"
"10,400.01",-,"10,500.00",5.00,"1,155.00"
"10,500.01",-,"10,600.00",5.00,"1,166.00"
"10,600.01",-,"10,700.00",5.00,"1,177.00"
"10,700.01",-,"10,800.00",5.00,"1,188.00"
"10,800.01",-,"10,900.00",5.00,"1,199.00"
"10,900.01",-,"11,000.00",5.00,"1,210.00"
"11,000.01",-,"11,100.00",5.00,"1,221.00"
"11,100.01",-,"11,200.00",5.00,"1,232.00"
"11,200.01",-,"11,300.00",5.00,"1,243.00"
"11,300.01",-,"11,400.00",5.00,"1,254.00"
"11,400.01",-,"11,500.00",5.00,"1,265.00"
"11,500.01",-,"11,600.00",5.00,"1,276.00"
"11,600.01",-,"11,700.00",5.00,"1,287.00"
"11,700.01",-,"11,800.00",5.00,"1,298.00"
"11,800.01",-,"11,900.00",5.00,"1,309.00"
"11,900.01",-,"12,000.00",5.00,"1,320.00"
"12,000.01",-,"12,100.00",5.00,"1,331.00"
"12,100.01",-,"12,200.00",5.00,"1,342.00"
"12,200.01",-,"12,300.00",5.00,"1,353.00"
"12,300.01",-,"12,400.00",5.00,"1,364.00"
"12,400.01",-,"12,500.00",5.00,"1,375.00"
"12,500.01",-,"12,600.00",5.00,"1,386.00"
"12,600.01",-,"12,700.00",5.00,"1,397.00"
"12,700.01",-,"12,800.00",5.00,"1,408.00"
"12,800.01",-,"12,900.00",5.00,"1,419.00"
"12,900.01",-,"13,000.00",5.00,"1,430.00"
"13,000.01",-,"13,100.00",5.00,"1,441.00"
"13,100.01",-,"13,200.00",5.00,"1,452.00"
"13,200.01",-,"13,300.00",5.00,"1,463.00"
"13,300.01",-,"13,400.00",5.00,"1,474.00"
"13,400.01",-,"13,500.00",5.00,"1,485.00"
"13,500.01",-,"13,600.00",5.00,"1,496.00"
"13,600.01",-,"13,700.00",5.00,"1,507.00"
"13,700.01",-,"13,800.00",5.00,"1,518.00"
"13,800.01",-,"13,900.00",5.00,"1,529.00"
"13,900.01",-,"14,000.00",5.00,"1,540.00"
"14,000.01",-,"14,100.00",5.00,"1,551.00"
"14,100.01",-,"14,200.00",5.00,"1,562.00"
"14,200.01",-,"14,300.00",5.00,"1,573.00"
"14,300.01",-,"14,400.00",5.00,"1,584.00"
"14,400.01",-,"14,500.00",5.00,"1,595.00"
"14,500.01",-,"14,600.00",5.00,"1,606.00"
"14,600.01",-,"14,700.00",5.00,"1,617.00"
"14,700.01",-,"14,800.00",5.00,"1,628.00"
"14,800.01",-,"14,900.00",5.00,"1,639.00"
"14,900.01",-,"15,000.00",5.00,"1,650.00"
"15,000.01",-,"15,100.00",5.00,"1,661.00"
"15,100.01",-,"15,200.00",5.00,"1,672.00"
"15,200.01",-,"15,300.00",5.00,"1,683.00"
"15,300.01",-,"15,400.00",5.00,"1,694.00"
"15,400.01",-,"15,500.00",5.00,"1,705.00"
"15,500.01",-,"15,600.00",5.00,"1,716.00"
"15,600.01",-,"15,700.00",5.00,"1,727.00"
"15,700.01",-,"15,800.00",5.00,"1,738.00"
"15,800.01",-,"15,900.00",5.00,"1,749.00"
"15,900.01",-,"16,000.00",5.00,"1,760.00"
"16,000.01",-,"16,100.00",5.00,"1,771.00"
"16,100.01",-,"16,200.00",5.00,"1,782.00"
"16,200.01",-,"16,300.00",5.00,"1,793.00"
"16,300.01",-,"16,400.00",5.00,"1,804.00"
"16,400.01",-,"16,500.00",5.00,"1,815.00"
"16,500.01",-,"16,600.00",5.00,"1,826.00"
"16,600.01",-,"16,700.00",5.00,"1,837.00"
"16,700.01",-,"16,800.00",5.00,"1,848.00"
"16,800.01",-,"16,900.00",5.00,"1,859.00"
"16,900.01",-,"17,000.00",5.00,"1,870.00"
"17,000.01",-,"17,100.00",5.00,"1,881.00"
"17,100.01",-,"17,200.00",5.00,"1,892.00"
"17,200.01",-,"17,300.00",5.00,"1,903.00"
"17,300.01",-,"17,400.00",5.00,"1,914.00"
"17,400.01",-,"17,500.00",5.00,"1,925.00"
"17,500.01",-,"17,600.00",5.00,"1,936.00"
"17,600.01",-,"17,700.00",5.00,"1,947.00"
"17,700.01",-,"17,800.00",5.00,"1,958.00"
"17,800.01",-,"17,900.00",5.00,"1,969.00"
"17,900.01",-,"18,000.00",5.00,"1,980.00"
"18,000.01",-,"18,100.00",5.00,"1,991.00"
"18,100.01",-,"18,200.00",5.00,"2,002.00"
"18,200.01",-,"18,300.00",5.00,"2,013.00"
"18,300.01",-,"18,400.00",5.00,"2,024.00"
"18,400.01",-,"18,500.00",5.00,"2,035.00"
"18,500.01",-,"18,600.00",5.00,"2,046.00"
"18,600.01",-,"18,700.00",5.00,"2,057.00"
"18,700.01",-,"18,800.00",5.00,"2,068.00"
"18,800.01",-,"18,900.00",5.00,"2,079.00"
"18,900.01",-,"19,000.00",5.00,"2,090.00"
"19,000.01",-,"19,100.00",5.00,"2,101.00"
"19,100.01",-,"19,200.00",5.00,"2,112.00"
"19,200.01",-,"19,300.00",5.00,"2,123.00"
"19,300.01",-,"19,400.00",5.00,"2,134.00"
"19,400.01",-,"19,500.00",5.00,"2,145.00"
"19,500.01",-,"19,600.00",5.00,"2,156.00"
"19,600.01",-,"19,700.00",5.00,"2,167.00"
"19,700.01",-,"19,800.00",5.00,"2,178.00"
"19,800.01",-,"19,900.00",5.00,"2,189.00"
"19,900.01",-,"20,000.00",5.00,"2,200.00"
